,yearstart,yearend,locationabbr,topic,question,datavaluetype,datavalue,stratificationcategory1,stratification1
345847,2.0,1.0,37.0,4.0,110.0,3.0,293.5,2.0,3.0
600507,6.0,5.0,5.0,16.0,41.0,7.0,,2.0,8.0
796711,8.0,7.0,21.0,2.0,78.0,2.0,38.4,2.0,3.0
1091657,3.0,2.0,47.0,16.0,135.0,7.0,,2.0,8.0
288784,6.0,5.0,22.0,6.0,67.0,8.0,,2.0,1.0
496729,7.0,6.0,5.0,14.0,143.0,8.0,519.0,1.0,9.0
737322,12.0,11.0,16.0,1.0,129.0,7.0,37.1,2.0,10.0
534068,11.0,10.0,0.0,7.0,157.0,7.0,,2.0,7.0
388646,3.0,2.0,35.0,4.0,70.0,3.0,24.47,1.0,9.0
1008062,5.0,4.0,39.0,2.0,36.0,7.0,12.6,0.0,4.0
463186,11.0,10.0,8.0,12.0,71.0,3.0,7.13,1.0,9.0
1122889,5.0,4.0,50.0,4.0,32.0,2.0,81.4,1.0,9.0
318871,4.0,3.0,17.0,4.0,110.0,3.0,158.5,2.0,10.0
76293,1.0,4.0,14.0,3.0,31.0,4.0,,2.0,0.0
855758,9.0,8.0,26.0,14.0,159.0,2.0,,2.0,3.0
873127,4.0,3.0,28.0,16.0,130.0,7.0,21.8,2.0,3.0
91516,3.0,6.0,34.0,3.0,85.0,5.0,3.8,2.0,0.0
514508,8.0,7.0,53.0,15.0,140.0,7.0,,2.0,5.0
643462,11.0,10.0,8.0,16.0,165.0,7.0,,2.0,7.0
812861,13.0,12.0,24.0,10.0,169.0,10.0,4.0,2.0,3.0
997850,4.0,3.0,39.0,11.0,117.0,2.0,31.3,2.0,8.0
723370,5.0,4.0,15.0,10.0,16.0,7.0,15.4,1.0,9.0
895096,5.0,4.0,30.0,14.0,170.0,1.0,4.9,2.0,3.0
174188,0.0,3.0,28.0,3.0,29.0,6.0,3194.0,0.0,6.0
162095,4.0,7.0,51.0,3.0,25.0,5.0,2.8,2.0,5.0
228170,12.0,11.0,51.0,5.0,116.0,12.0,290.0,2.0,5.0
710575,10.0,9.0,15.0,6.0,151.0,7.0,,2.0,7.0
397314,7.0,6.0,28.0,4.0,65.0,3.0,6.44,2.0,1.0
1032095,4.0,3.0,41.0,16.0,41.0,7.0,1.6,0.0,6.0
458719,10.0,9.0,22.0,11.0,173.0,14.0,7.3,1.0,9.0
635163,5.0,4.0,7.0,14.0,168.0,1.0,2.0,2.0,8.0
14274,6.0,5.0,52.0,0.0,4.0,7.0,52.8,2.0,3.0
698502,9.0,8.0,14.0,1.0,12.0,2.0,37.8,2.0,10.0
677155,7.0,6.0,12.0,2.0,132.0,2.0,37.3,0.0,4.0
311573,2.0,1.0,35.0,6.0,49.0,8.0,292.03,2.0,0.0
873292,9.0,8.0,27.0,14.0,176.0,7.0,84.3,2.0,5.0
762106,6.0,5.0,19.0,6.0,152.0,2.0,,2.0,7.0
856277,11.0,10.0,27.0,10.0,169.0,1.0,4.7,2.0,5.0
585616,8.0,7.0,4.0,7.0,156.0,2.0,10.3,0.0,6.0
782885,5.0,4.0,20.0,1.0,177.0,7.0,45.0,2.0,7.0
44995,4.0,3.0,8.0,2.0,14.0,8.0,,2.0,3.0
26769,7.0,6.0,34.0,0.0,7.0,15.0,0.70,1.0,9.0
295212,5.0,4.0,9.0,6.0,50.0,12.0,136496.0,1.0,9.0
96219,5.0,8.0,3.0,3.0,86.0,4.0,145.3,2.0,10.0
383816,10.0,9.0,54.0,4.0,108.0,3.0,,2.0,5.0
1073405,13.0,12.0,45.0,7.0,157.0,2.0,50.5,2.0,5.0
98808,1.0,4.0,30.0,3.0,85.0,6.0,4511.0,0.0,4.0
122401,1.0,4.0,38.0,3.0,88.0,4.0,124.0,2.0,10.0
19125,6.0,5.0,44.0,0.0,33.0,3.0,12.0,1.0,9.0
772946,6.0,5.0,20.0,4.0,136.0,7.0,77.3,2.0,10.0
979354,6.0,5.0,37.0,6.0,149.0,7.0,66.0,0.0,6.0
649726,5.0,4.0,9.0,10.0,16.0,7.0,17.5,2.0,10.0
1141518,8.0,7.0,51.0,2.0,132.0,7.0,43.3,0.0,4.0
131075,6.0,9.0,9.0,3.0,27.0,6.0,332.0,0.0,4.0
49552,5.0,8.0,46.0,3.0,89.0,4.0,7.1,2.0,5.0
243605,5.0,4.0,12.0,6.0,68.0,3.0,22.31,2.0,10.0
1168767,6.0,5.0,52.0,16.0,43.0,2.0,16.5,0.0,4.0
491475,7.0,6.0,54.0,12.0,147.0,7.0,52.8,0.0,4.0
1139499,10.0,9.0,50.0,14.0,40.0,2.0,,2.0,8.0
593418,5.0,4.0,5.0,7.0,2.0,7.0,,2.0,3.0
720119,10.0,9.0,15.0,13.0,5.0,7.0,10.5,2.0,10.0
187454,7.0,10.0,22.0,3.0,91.0,5.0,,2.0,1.0
828668,6.0,5.0,24.0,13.0,185.0,2.0,,2.0,5.0
152,9.0,8.0,3.0,7.0,115.0,12.0,118,1.0,9.0
729810,10.0,9.0,16.0,13.0,178.0,7.0,,2.0,5.0
1151860,7.0,6.0,52.0,5.0,150.0,7.0,1.5,0.0,6.0
660960,5.0,4.0,10.0,0.0,61.0,7.0,,2.0,8.0
497686,5.0,4.0,38.0,14.0,141.0,7.0,29.8,2.0,3.0
140067,1.0,4.0,6.0,3.0,87.0,4.0,5.9,2.0,10.0
940855,6.0,5.0,33.0,12.0,163.0,2.0,40.2,2.0,8.0
258893,6.0,5.0,33.0,6.0,66.0,3.0,210.27,0.0,6.0
264366,7.0,6.0,37.0,6.0,66.0,8.0,,2.0,1.0
370196,10.0,9.0,13.0,4.0,108.0,8.0,45.6,1.0,9.0
766536,7.0,6.0,19.0,10.0,16.0,7.0,15.8,1.0,9.0
1085313,4.0,3.0,45.0,12.0,163.0,7.0,47.1,2.0,10.0
1060457,3.0,2.0,43.0,6.0,149.0,2.0,71.2,2.0,8.0
208643,5.0,4.0,0.0,5.0,116.0,12.0,54.0,2.0,0.0
1088636,5.0,4.0,47.0,1.0,0.0,2.0,46.7,2.0,10.0
1169739,9.0,8.0,54.0,7.0,56.0,7.0,,2.0,3.0
618670,10.0,9.0,7.0,6.0,153.0,7.0,,2.0,5.0
817348,6.0,5.0,24.0,1.0,51.0,7.0,50.3,2.0,5.0
327370,11.0,10.0,54.0,4.0,112.0,3.0,242.7,0.0,6.0
977424,4.0,3.0,36.0,16.0,165.0,2.0,72.1,2.0,3.0
